rel_path,filename,page_count,pc1,pc2
Acme Corp/Corporate documents/Incorporations/Acme - Articles of association.docx,Acme - Articles of association.docx,4,0.07135098427534103,-0.19708959758281708
Acme Corp/Corporate documents/Incorporations/Acme - Founder_s agreement.docx,Acme - Founder_s agreement.docx,18,0.032671332359313965,-0.2283814549446106
Acme Corp/Corporate documents/Meeting minutes/1. Board Meeting Minutes (Proposal to GM) Appendix 1.docx,1. Board Meeting Minutes (Proposal to GM) Appendix 1.docx,2,0.11286561191082001,-0.14115986227989197
Acme Corp/Corporate documents/Meeting minutes/1. StartupTools SE - Board Meeting Minutes (Proposal to GM).docx,1. StartupTools SE - Board Meeting Minutes (Proposal to GM).docx,1,0.09137014299631119,-0.09392482042312622
Acme Corp/Corporate documents/Meeting minutes/2. StartupTools SE - General Meeting Minutes.docx,2. StartupTools SE - General Meeting Minutes.docx,2,0.03988831490278244,-0.10276670753955841
Acme Corp/Corporate documents/Meeting minutes/4. StartupTools SE - Board Meeting Minutes (Confirmation).docx,4. StartupTools SE - Board Meeting Minutes (Confirmation).docx,1,0.09958668053150177,-0.08317592740058899
Acme Corp/Corporate documents/Meeting minutes/StartupTools-SE-Share-Transfer-Agreement-2023-09-15 (1).docx,StartupTools-SE-Share-Transfer-Agreement-2023-09-15 (1).docx,4,-0.0009314825874753296,-0.23197633028030396
Acme Corp/Corporate documents/Meeting minutes/StartupTools-Sweden-2021-05-10-Articles-of-Association-v2.docx,StartupTools-Sweden-2021-05-10-Articles-of-Association-v2.docx,6,0.07038668543100357,-0.20332609117031097
Acme Corp/Corporate documents/Meeting minutes/StartupTools-Sweden-2021-05-10-Shareholders-Agreement-With-VC-Lead-Investor.docx,StartupTools-Sweden-2021-05-10-Shareholders-Agreement-With-VC-Lead-Investor.docx,23,0.04505884647369385,-0.23043857514858246
Acme Corp/Corporate documents/SWEAT formalities/1. StartupTools SE - Board Meeting Minutes (Proposal to GM) Appendix 1 v1.02.docx,1. StartupTools SE - Board Meeting Minutes (Proposal to GM) Appendix 1 v1.02.docx,2,0.04212786629796028,-0.16455169022083282
Acme Corp/Corporate documents/SWEAT formalities/1. StartupTools SE - Board Meeting Minutes (Proposal to GM) v1.01.docx,1. StartupTools SE - Board Meeting Minutes (Proposal to GM) v1.01.docx,1,0.054121233522892,-0.09771176427602768
Acme Corp/Corporate documents/SWEAT formalities/2. StartupTools SE - General Meeting Minutes (authoriztion of board) v1.0.docx,2. StartupTools SE - General Meeting Minutes (authoriztion of board) v1.0.docx,2,0.0008750393171794713,-0.09975346177816391
Acme Corp/Corporate documents/SWEAT formalities/2. StartupTools SE - General Meeting Minutes (decision on GM) v1.0.docx,2. StartupTools SE - General Meeting Minutes (decision on GM) v1.0.docx,2,0.013747824355959892,-0.09679196774959564
Acme Corp/Corporate documents/SWEAT formalities/2. StartupTools SE - General Meeting Minutes Appendix 2 v1.0.docx,2. StartupTools SE - General Meeting Minutes Appendix 2 v1.0.docx,1,0.08457643538713455,-0.034781720489263535
Acme Corp/Corporate documents/SWEAT formalities/3. StartupTools SE - Board Meeting Minutes (Execution) - only if authorization of board v1.0.docx,3. StartupTools SE - Board Meeting Minutes (Execution) - only if authorization of board v1.0.docx,2,0.06533925980329514,-0.09726253896951675
Acme Corp/Corporate documents/SWEAT formalities/4. StartupTools SE - Warrant Subscription List v1.01.docx,4. StartupTools SE - Warrant Subscription List v1.01.docx,1,0.06757929921150208,-0.10809598863124847
Acme Corp/Corporate documents/SWEAT formalities/5. StartupTools SE - Board Meeting Minutes #3 (Confirmation) v1.01.docx,5. StartupTools SE - Board Meeting Minutes #3 (Confirmation) v1.01.docx,1,0.06579236686229706,-0.09084247052669525
Acme Corp/Financial/Loan Agreement - US.docx,Loan Agreement - US.docx,31,-0.05280039459466934,-0.38687366247177124
Acme Corp/Financial/Loan Agreement.docx,Loan Agreement.docx,2,-0.035825569182634354,-0.26544129848480225
Acme Corp/Financial/Term sheet VC.docx,Term sheet VC.docx,3,0.11541260033845901,-0.10756098479032516
Acme Corp/Financial/WISE Agreement 2021-08-19.docx,WISE Agreement 2021-08-19.docx,6,0.07832290232181549,-0.16578860580921173
Acme Corp/Financial/WISE Terms 2021-08-09.docx,WISE Terms 2021-08-09.docx,7,0.09497662633657455,-0.1635434776544571
Acme Corp/Financial/Warrant Subscription List.docx,Warrant Subscription List.docx,1,0.09932824969291687,-0.09295810759067535
Acme Corp/Human resources/Advisors/Jamie Douglas - SWEAT Consulting agreement.docx,Jamie Douglas - SWEAT Consulting agreement.docx,3,0.024653185158967972,-0.16170187294483185
Acme Corp/Human resources/Consultants/Elvis Costello - Consultancy Agreement (Recovered - 2024-03-01_09-53).docx,Elvis Costello - Consultancy Agreement (Recovered - 2024-03-01_09-53).docx,2,0.04472405090928078,-0.1296047568321228
Acme Corp/Human resources/Consultants/Elvis Costello - Consultancy Agreement.docx,Elvis Costello - Consultancy Agreement.docx,2,0.0445253923535347,-0.12944643199443817
Acme Corp/Human resources/Consultants/Frank Sinatra - Consultancy Agreement.docx,Frank Sinatra - Consultancy Agreement.docx,2,0.041619352996349335,-0.1349625289440155
Acme Corp/Human resources/Employment/Jenny Wire - Employment Agreement.docx,Jenny Wire - Employment Agreement.docx,4,0.04629097506403923,-0.09183365106582642
Acme Corp/Human resources/Employment/Matt Frank - Employment Agreement.docx,Matt Frank - Employment Agreement.docx,5,0.05481821671128273,-0.09708768874406815
Acme Corp/Human resources/Employment/Matt Frank - QESO - Stock Options.docx,Matt Frank - QESO - Stock Options.docx,7,0.037049420177936554,-0.18128551542758942
Acme Corp/Human resources/Employment/Mike Shilling - Employment Agreement.docx,Mike Shilling - Employment Agreement.docx,3,0.015887653455138206,-0.07996490597724915
