rel_path,filename,page_count,pc1,pc2
Acme Corp/Corporate documents/Incorporations/Acme - Articles of association.docx,Acme - Articles of association.docx,4,16.16625213623047,1.739357352256775
Acme Corp/Corporate documents/Incorporations/Acme - Founder_s agreement.docx,Acme - Founder_s agreement.docx,18,16.265525817871094,1.3783879280090332
Acme Corp/Corporate documents/Meeting minutes/1. Board Meeting Minutes (Proposal to GM) Appendix 1.docx,1. Board Meeting Minutes (Proposal to GM) Appendix 1.docx,2,16.13218879699707,1.7547032833099365
Acme Corp/Corporate documents/Meeting minutes/1. StartupTools SE - Board Meeting Minutes (Proposal to GM).docx,1. StartupTools SE - Board Meeting Minutes (Proposal to GM).docx,1,16.064231872558594,1.7444190979003906
Acme Corp/Corporate documents/Meeting minutes/2. StartupTools SE - General Meeting Minutes.docx,2. StartupTools SE - General Meeting Minutes.docx,2,16.04853630065918,1.7408922910690308
Acme Corp/Corporate documents/Meeting minutes/4. StartupTools SE - Board Meeting Minutes (Confirmation).docx,4. StartupTools SE - Board Meeting Minutes (Confirmation).docx,1,16.055540084838867,1.7430930137634277
Acme Corp/Corporate documents/Meeting minutes/StartupTools-SE-Share-Transfer-Agreement-2023-09-15 (1).docx,StartupTools-SE-Share-Transfer-Agreement-2023-09-15 (1).docx,4,16.25970458984375,1.3651808500289917
Acme Corp/Corporate documents/Meeting minutes/StartupTools-Sweden-2021-05-10-Articles-of-Association-v2.docx,StartupTools-Sweden-2021-05-10-Articles-of-Association-v2.docx,6,16.157325744628906,1.7498373985290527
Acme Corp/Corporate documents/Meeting minutes/StartupTools-Sweden-2021-05-10-Shareholders-Agreement-With-VC-Lead-Investor.docx,StartupTools-Sweden-2021-05-10-Shareholders-Agreement-With-VC-Lead-Investor.docx,23,16.211307525634766,1.375303864479065
Acme Corp/Corporate documents/SWEAT formalities/1. StartupTools SE - Board Meeting Minutes (Proposal to GM) Appendix 1 v1.02.docx,1. StartupTools SE - Board Meeting Minutes (Proposal to GM) Appendix 1 v1.02.docx,2,16.145519256591797,1.7488104104995728
